comparison,mode,source_file_current,source_path,run_type,focal_current_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label_current,question_id,product,cited_current,ref_count_current,first_citation_index,first_citation_score_current,citation_position_proxy_current,citation_position_score_current,citation_share_of_voice_current,recommendation_rank_proxy_current,rank_score_proxy_current,top1_cited_flag_current,brand_mentioned_current,brand_mention_count_current,first_mention_index,first_mention_score_current,mention_share_of_voice_current,mention_position_proxy_current,mention_position_score_current,average_mention_position_proxy_current,top1_mentioned_flag,feature_categories,feature_count_current,feature_coverage_current,tfidf_product_answer_similarity_current,bigram_overlap_product_answer_current,pais_product_answer_influence_score_current,brand_context_sentiment_score_current,brand_context_positive_hits_current,brand_context_negative_hits_current,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences,cited_baseline,ref_count_baseline,first_citation_score_baseline,recommendation_rank_proxy_baseline,rank_score_proxy_baseline,top1_cited_flag_baseline,feature_count_baseline,feature_coverage_baseline,tfidf_product_answer_similarity_baseline,bigram_overlap_product_answer_baseline,pais_product_answer_influence_score_baseline,brand_mentioned_baseline,brand_mention_count_baseline,mention_share_of_voice_baseline,citation_share_of_voice_baseline,first_mention_score_baseline,mention_position_proxy_baseline,mention_position_score_baseline,average_mention_position_proxy_baseline,citation_position_proxy_baseline,citation_position_score_baseline,brand_context_sentiment_score_baseline,brand_context_positive_hits_baseline,brand_context_negative_hits_baseline,source_file_baseline,prompt_set_label_baseline,baseline_match_found,delta_cited,delta_ref_count,delta_first_citation_score,delta_recommendation_rank_proxy,delta_rank_score_proxy,delta_top1_cited_flag,delta_feature_count,delta_feature_coverage,delta_tfidf_product_answer_similarity,delta_bigram_overlap_product_answer,delta_pais_product_answer_influence_score,delta_brand_mentioned,delta_brand_mention_count,delta_mention_share_of_voice,delta_citation_share_of_voice,delta_first_mention_score,delta_mention_position_proxy,delta_mention_position_score,delta_average_mention_position_proxy,delta_citation_position_proxy,delta_citation_position_score,delta_brand_context_sentiment_score,delta_brand_context_positive_hits,delta_brand_context_negative_hits,delta_citation_rate,delta_mean_ref_count,rank_improvement_current_minus_baseline,delta_top1_cited_share,delta_pais
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,1,BEIS,1,1,4.0,0.25,4,0.4,0.25,3,0.6,0,1,1,4.0,0.25,0.25,3,0.6,3,0,,0,0.0,0.0,0.0,0.13333333333333333,0.0,1,1,182,Delsey > Delsey > Travelpro > BEIS,[BEIS],"BÉIS is appealing for overpackers because it offers 49-61 L capacity and 2 inches of expandable space, but its page tells shoppers to check airline guidelines, so I would be more cautious if strict carry-on sizing matters.",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,1.0,1.0,0.25,-3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,1.0,0.25,0.25,0.25,-3.0,0.6,-3.0,-2.0,0.4,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.13333333333333333
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,2,BEIS,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,183,Travelpro > Travelpro > Delsey > Delsey > Monos,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,3,BEIS,1,1,4.0,0.25,4,0.4,0.2,4,0.4,0,1,1,5.0,0.2,0.14285714285714285,4,0.4,4,0,,0,0.0,0.0,0.0,0.13333333333333333,1.0,1,0,153,Travelpro > Delsey > INUSA > BEIS > Monos,[BEIS] [Monos],"BÉIS and Monos also mention smooth or quiet wheels and comfortable handles, but Travelpro provides the strongest product-page evidence for control in tight spaces.",1.0,1.0,0.3333333333333333,2.0,0.8,0.0,1.0,0.05263157894736842,0.025385755882622714,0.047619047619047616,0.17274632410885538,1.0,1.0,0.3333333333333333,0.25,0.5,2.0,0.8,2.0,3.0,0.6,1.0,4.0,0.0,baseline_1.txt,1-5,True,0.0,0.0,-0.08333333333333331,2.0,-0.4,0.0,-1.0,-0.05263157894736842,-0.025385755882622714,-0.047619047619047616,-0.039412990775522044,0.0,0.0,-0.19047619047619047,-0.04999999999999999,-0.3,2.0,-0.4,2.0,1.0,-0.19999999999999996,0.0,-3.0,0.0,0.0,0.0,-2.0,0.0,-0.039412990775522044
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,4,BEIS,1,2,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,1,1,1,1.0,1.0,0.16666666666666666,1,1.0,1,1,lock_security;packing_organization,2,0.10526315789473684,0.09153773104409584,0.18518518518518517,0.43380462223221106,1.0,3,0,183,BEIS > BEIS > Delsey > Monos > Travelpro > INUSA,"[BEIS] It also has a detachable compression flap with a U-zip pocket, mesh backing, and four-point compression straps, which should help keep clothes organized and compressed. [BEIS] Delsey is a strong runner-up because it has dual compartments, compression cross straps, a zippered divider, mesh zippered pockets, and included laundry and shoe bags.","For packing organization, I would recommend BÉIS because it has the most detailed organization setup in the provided pages.",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,0.036164690250800276,0.07407407407407407,0.39553703161741155,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,baseline_1.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.05537304079329556,0.1111111111111111,0.03826759061479951,0.0,0.0,-0.16666666666666666,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03826759061479951
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,5,BEIS,1,1,6.0,0.16666666666666666,6,0.0,0.14285714285714285,4,0.4,0,1,1,7.0,0.14285714285714285,0.125,4,0.4,4,0,lock_security;tradeoff_or_limitation;warranty_trial_return,3,0.15789473684210525,0.031365277117477185,0.07692307692307693,0.16605713099704472,0.2,6,4,305,Travelpro > Travelpro > Monos > Monos > Delsey > BEIS > INUSA,"[BEIS] INUSA has a TSA-approved lock and is described as suitable for most major airlines, but the provided page does not include warranty or trial information.","BÉIS has strong capacity, TSA lock, limited lifetime luggage warranty, and a weight indicator, but its page says shoppers should check airline guidelines and does not provide a trial policy in the provided text.",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.125,4.0,0.4,4.0,6.0,0.0,-0.3333333333333333,1.0,2.0,baseline_1.txt,1-5,True,1.0,1.0,0.16666666666666666,-2.0,0.4,0.0,3.0,0.15789473684210525,0.031365277117477185,0.07692307692307693,0.16605713099704472,0.0,0.0,0.024999999999999994,0.14285714285714285,0.01785714285714285,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,5.0,2.0,1.0,1.0,2.0,0.0,0.16605713099704472
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,11,BEIS,1,1,6.0,0.16666666666666666,6,0.0,0.125,4,0.4,0,1,1,6.0,0.16666666666666666,0.125,4,0.4,4,0,dimensions,1,0.05263157894736842,0.0,0.0,0.12719298245614036,0.0,0,0,326,Monos > Travelpro > Travelpro > Delsey > Delsey > BEIS > INUSA > INUSA,[BEIS] INUSA has possible size limitations because its listed 20-inch size is 13.78 in.,BEIS has possible size limitations because its exterior dimensions are 22.8 in.,1.0,1.0,0.16666666666666666,4.0,0.4,0.0,4.0,0.21052631578947367,0.02852222694084218,0.024390243902439025,0.1681349117980957,1.0,1.0,0.1,0.1111111111111111,0.16666666666666666,4.0,0.4,4.0,6.0,0.0,-1.0,0.0,2.0,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-0.15789473684210525,-0.02852222694084218,-0.024390243902439025,-0.04094192934195534,0.0,0.0,0.024999999999999994,0.013888888888888895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,-0.04094192934195534
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,12,BEIS,1,1,3.0,0.3333333333333333,3,0.6,0.16666666666666666,2,0.8,0,1,1,3.0,0.3333333333333333,0.16666666666666666,2,0.8,2,0,cleaning_care;durability_protection,2,0.10526315789473684,0.014020396993339875,0.0,0.17385671097761535,1.0,2,0,196,Travelpro > Travelpro > BEIS > INUSA > Delsey > Monos,"[BEIS] INUSA mentions a micro-diamond finish with water- and scratch-resistant qualities, along with hard-flex construction for strength and durability.","BEIS is also promising for easy care because the feature highlights list stain resistance, the care instructions say “Spot Clean,” and the interior includes an easy-to-clean lining.",1.0,2.0,0.25,3.0,0.6,0.0,4.0,0.21052631578947367,0.009303797297058937,0.0,0.2606326892839732,1.0,2.0,0.2222222222222222,0.2222222222222222,0.25,3.0,0.6,3.0,4.0,0.4,0.6666666666666666,5.0,1.0,baseline_11.txt,11-15,True,0.0,-1.0,0.08333333333333331,-1.0,0.20000000000000007,0.0,-2.0,-0.10526315789473684,0.0047165996962809376,0.0,-0.08677597830635786,0.0,-1.0,-0.05555555555555555,-0.05555555555555555,0.08333333333333331,-1.0,0.20000000000000007,-1.0,-1.0,0.19999999999999996,0.33333333333333337,-3.0,-1.0,0.0,-1.0,1.0,0.0,-0.08677597830635786
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,13,BEIS,1,2,4.0,0.25,4,0.4,0.25,3,0.6,0,1,2,3.0,0.3333333333333333,0.25,3,0.6,3,0,comparison_ready_evidence;durability_protection;sustainability;tradeoff_or_limitation,4,0.21052631578947367,0.02035990005318498,0.04838709677419355,0.2701019743513275,-0.7142857142857143,1,6,202,Delsey > Delsey > Monos > BEIS > Monos > BEIS > Travelpro > INUSA,"[BEIS] The sustainability evidence for Monos and BEIS is weaker than Delsey because vegan leather trim or details are narrow material claims and the provided text does not give recycled content, sourcing details, certifications, or environmental impact information. [Monos] [BEIS] Travelpro and INUSA do not provide concrete sustainability-related information in the provided product-page text, though both describe durability-related materials or construction.","BEIS gives limited responsible-material information because its material list includes vegan leather trim, and it also describes a durable hard-shell exterior and polycarbonate body. The sustainability evidence for Monos and BEIS is weaker than Delsey because vegan leather trim or details are narrow material claims and the provided text does not give recycled content, sourcing details, certifications, or environmental impact information.",1.0,2.0,0.3333333333333333,2.0,0.8,0.0,6.0,0.3157894736842105,0.03444126149430255,0.0392156862745098,0.30926183331021245,1.0,1.0,0.1111111111111111,0.25,0.3333333333333333,2.0,0.8,2.0,3.0,0.6,-0.3333333333333333,2.0,4.0,baseline_11.txt,11-15,True,0.0,0.0,-0.08333333333333331,1.0,-0.20000000000000007,0.0,-2.0,-0.10526315789473684,-0.01408136144111757,0.009171410499683744,-0.03915985895888496,0.0,1.0,0.1388888888888889,0.0,0.0,1.0,-0.20000000000000007,1.0,1.0,-0.19999999999999996,-0.380952380952381,-1.0,2.0,0.0,0.0,-1.0,0.0,-0.03915985895888496
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,14,BEIS,1,1,1.0,1.0,1,1.0,0.2,1,1.0,1,1,1,1.0,1.0,0.2,1,1.0,1,1,electronics_convenience;packing_organization,2,0.10526315789473684,0.009086398467130573,0.0,0.3062032446057068,0.3333333333333333,2,1,215,BEIS > Travelpro > Delsey > Monos > INUSA,"[BEIS] Travelpro is the best convenience pick if phone charging is the priority because it includes external USB-A and USB-C fast-charge ports plus a dedicated external-access battery pocket for FAA-compliant power-bank storage, although the power bank is not included.","BEIS seems the most broadly useful for travel-day convenience because it combines a built-in weight indicator, a retractable bag strap that can hold up to 15 lbs, 2 inches of expandable space, compression straps, a cushioned trolley handle, 360-degree wheels, a TSA lock, and separate pouches for dirty clothes, shoes, undergarments, and damp clothing.",1.0,2.0,0.5,2.0,0.8,0.0,4.0,0.21052631578947367,0.037148896444689924,0.05,0.32370170911349944,1.0,2.0,0.2857142857142857,0.2857142857142857,0.5,2.0,0.8,2.0,2.0,0.8,0.3333333333333333,2.0,1.0,baseline_11.txt,11-15,True,0.0,-1.0,0.5,-1.0,0.19999999999999996,1.0,-2.0,-0.10526315789473684,-0.02806249797755935,-0.05,-0.017498464507792633,0.0,-1.0,-0.08571428571428569,-0.08571428571428569,0.5,-1.0,0.19999999999999996,-1.0,-1.0,0.19999999999999996,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-0.017498464507792633
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,15,BEIS,1,2,3.0,0.3333333333333333,3,0.6,0.2,3,0.6,0,1,2,3.0,0.3333333333333333,0.2,3,0.6,3,0,capacity_volume;dimensions;lock_security;overhead_bin_or_airline_fit;sustainability;tradeoff_or_limitation;warranty_trial_return;weight;wheels_mobility,9,0.47368421052631576,0.05329829279232682,0.0,0.33872983399706186,0.3333333333333333,8,4,271,Travelpro > Delsey > BEIS > INUSA > Monos > Travelpro > BEIS > Delsey > INUSA > Monos,"[BEIS]

INUSA provides useful basics such as material, weight, dimensions, wheel-exclusion guidance, lock, handles, zippers, and airline suitability language, but shoppers should double-check the true overall dimensions with wheels, warranty and return terms, capacity, and exact airline fit. [Travelpro] [BEIS] [Delsey] [INUSA] [Monos]","BEIS is fairly clear because it gives exterior and interior dimensions, weight, capacity, material, care instructions, warranty mention, and detailed convenience features, but shoppers should double-check airline fit when expanded and whether its 22.8 in. Before purchase, a shopper should double-check each bag’s dimensions against the exact airline and fare rules they use most often, especially expanded dimensions for Travelpro and BEIS, the Carry-On Plus size for Delsey, INUSA’s height including wheels, and Monos’s exact measurements because they are not included in the provided text.",1.0,2.0,0.5,2.0,0.8,0.0,11.0,0.5789473684210527,0.05858436208484114,0.038461538461538464,0.3999422435370762,1.0,3.0,0.2,0.16666666666666666,0.5,2.0,0.8,2.0,2.0,0.8,0.5,15.0,5.0,baseline_11.txt,11-15,True,0.0,0.0,-0.16666666666666669,1.0,-0.20000000000000007,0.0,-2.0,-0.10526315789473689,-0.005286069292514323,-0.038461538461538464,-0.061212409540014334,0.0,-1.0,0.0,0.033333333333333354,-0.16666666666666669,1.0,-0.20000000000000007,1.0,1.0,-0.20000000000000007,-0.16666666666666669,-7.0,-1.0,0.0,0.0,-1.0,0.0,-0.061212409540014334
