comparison,mode,source_file_geo,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label_geo,question_id,product,cited_geo,ref_count_geo,first_citation_index,first_citation_score_geo,citation_position_proxy_geo,citation_position_score_geo,citation_share_of_voice_geo,recommendation_rank_proxy_geo,rank_score_proxy_geo,top1_cited_flag_geo,brand_mentioned_geo,brand_mention_count_geo,first_mention_index,first_mention_score_geo,mention_share_of_voice_geo,mention_position_proxy_geo,mention_position_score_geo,average_mention_position_proxy_geo,top1_mentioned_flag,feature_categories,feature_count_geo,feature_coverage_geo,tfidf_product_answer_similarity_geo,bigram_overlap_product_answer_geo,pais_product_answer_influence_score_geo,brand_context_sentiment_score_geo,brand_context_positive_hits_geo,brand_context_negative_hits_geo,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences,cited_baseline,ref_count_baseline,first_citation_score_baseline,recommendation_rank_proxy_baseline,rank_score_proxy_baseline,top1_cited_flag_baseline,feature_count_baseline,feature_coverage_baseline,tfidf_product_answer_similarity_baseline,bigram_overlap_product_answer_baseline,pais_product_answer_influence_score_baseline,brand_mentioned_baseline,brand_mention_count_baseline,mention_share_of_voice_baseline,citation_share_of_voice_baseline,first_mention_score_baseline,mention_position_proxy_baseline,mention_position_score_baseline,average_mention_position_proxy_baseline,citation_position_proxy_baseline,citation_position_score_baseline,brand_context_sentiment_score_baseline,brand_context_positive_hits_baseline,brand_context_negative_hits_baseline,source_file_baseline,prompt_set_label_baseline,baseline_match_found,delta_cited,delta_ref_count,delta_first_citation_score,delta_recommendation_rank_proxy,delta_rank_score_proxy,delta_top1_cited_flag,delta_feature_count,delta_feature_coverage,delta_tfidf_product_answer_similarity,delta_bigram_overlap_product_answer,delta_pais_product_answer_influence_score,delta_brand_mentioned,delta_brand_mention_count,delta_mention_share_of_voice,delta_citation_share_of_voice,delta_first_mention_score,delta_mention_position_proxy,delta_mention_position_score,delta_average_mention_position_proxy,delta_citation_position_proxy,delta_citation_position_score,delta_brand_context_sentiment_score,delta_brand_context_positive_hits,delta_brand_context_negative_hits,delta_citation_rate,delta_mean_ref_count,rank_improvement_geo_minus_baseline,delta_top1_cited_share,delta_pais
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,1,5,1-5,1,BEIS,1,1,2.0,0.5,2,0.8,0.3333333333333333,2,0.8,0,1,1,3.0,0.3333333333333333,0.25,2,0.8,2,0,capacity_volume;dimensions;expansion;overhead_bin_or_airline_fit;tradeoff_or_limitation,5,0.2631578947368421,0.0339340866206099,0.030303030303030304,0.2472971841502783,0.0,2,2,133,Delsey > BEIS > Travelpro,"[BEIS] The Travelpro is another strong short-trip option because it has 45 L volume and a 2-inch expansion, but its page says a fully expanded Carry-On may not meet airline restrictions.","I’d also consider the BÉIS Carry-On Roller if you tend to pack extra or bring things home, because it has 49-61 L capacity, expands an extra two inches, and includes compression plus separate pouches for dirty clothes, shoes, undergarments, and damp clothing.",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,1.0,1.0,0.5,-4.0,0.8,0.0,5.0,0.2631578947368421,0.0339340866206099,0.030303030303030304,0.2472971841502783,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,-4.0,0.8,-4.0,-4.0,0.8,0.0,2.0,2.0,1.0,1.0,4.0,0.0,0.2472971841502783
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,1,5,1-5,2,BEIS,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,127,Travelpro > Travelpro > Delsey > Monos,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,1,5,1-5,3,BEIS,1,1,2.0,0.5,2,0.8,0.25,2,0.8,0,1,1,2.0,0.5,0.2,2,0.8,2,0,comparison_ready_evidence;handle;tradeoff_or_limitation;wheels_mobility,4,0.21052631578947367,0.04908947565592517,0.03225806451612903,0.24009520129983247,0.0,1,1,116,Travelpro > BEIS > Delsey > INUSA,"[BEIS] Delsey and INUSA also offer 360-degree or multi-directional spinner wheels, but their pages provide less detail about control features than Travelpro’s self-aligning wheel and adjustable-handle system.","BÉIS may be especially appealing if you want comfort and easy movement beyond the terminal, because its page specifically says the 360-degree wheels help it glide through terminals, streets, and hallways, and its cushioned trolley handle is meant to reduce hand strain.",1.0,1.0,0.3333333333333333,2.0,0.8,0.0,1.0,0.05263157894736842,0.025385755882622714,0.047619047619047616,0.17274632410885538,1.0,1.0,0.3333333333333333,0.25,0.5,2.0,0.8,2.0,3.0,0.6,1.0,4.0,0.0,baseline_1.txt,1-5,True,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,3.0,0.15789473684210525,0.023703719773302455,-0.015360983102918585,0.0673488771909771,0.0,0.0,-0.1333333333333333,0.0,0.0,0.0,0.0,0.0,-1.0,0.20000000000000007,-1.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0673488771909771
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,1,5,1-5,4,BEIS,1,1,1.0,1.0,1,1.0,0.25,1,1.0,1,1,1,1.0,1.0,0.25,1,1.0,1,1,packing_organization,1,0.05263157894736842,0.015382990148991112,0.0,0.2969362471526052,1.0,2,0,134,BEIS > Delsey > Monos > INUSA,"[BEIS] Delsey is the next-best organization pick because it includes dual compartments, compression cross straps, a zippered divider, mesh zippered pockets, and included laundry and shoe bags.","BÉIS seems best for packing organization because it has a butterfly opening, a U-zip flap with two pockets, a detachable compression flap with U-zip and mesh pockets, four-point compression straps, a small valuables zip pouch, and separate pouches for dirty clothes, shoes, undergarments, and damp clothing.",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,0.036164690250800276,0.07407407407407407,0.39553703161741155,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,baseline_1.txt,1-5,True,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020781700101809165,-0.07407407407407407,-0.09860078446480636,0.0,0.0,-0.08333333333333331,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.09860078446480636
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,1,5,1-5,5,BEIS,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,186,Travelpro > Travelpro > Monos > INUSA,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.125,4.0,0.4,4.0,6.0,0.0,-0.3333333333333333,1.0,2.0,baseline_1.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.1,0.0,-0.125,2.0,-0.4,2.0,0.0,0.0,0.3333333333333333,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_11.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,11,15,11-15,11,BEIS,1,1,6.0,0.16666666666666666,6,0.0,0.14285714285714285,4,0.4,0,1,1,8.0,0.125,0.1111111111111111,4,0.4,4,0,dimensions;tradeoff_or_limitation;wheels_mobility,3,0.15789473684210525,0.024644191449202442,0.02702702702702703,0.15722850637898228,-0.5,1,3,260,Monos > Travelpro > Travelpro > Monos > Delsey > BEIS > INUSA,"[BEIS]
INUSA also needs a double-check because it says the bag is suitable for most major airlines, but its dimension table excludes wheels and tells shoppers to add 2 inches to the height to determine overall height.","BEIS has possible size limitations because it expands an extra two inches, the page tells shoppers to check airline guidelines and weight restrictions, and the provided text does not say it was sizer-bin tested or that it fits most airlines.",1.0,1.0,0.16666666666666666,4.0,0.4,0.0,4.0,0.21052631578947367,0.02852222694084218,0.024390243902439025,0.1681349117980957,1.0,1.0,0.1,0.1111111111111111,0.16666666666666666,4.0,0.4,4.0,6.0,0.0,-1.0,0.0,2.0,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.05263157894736842,-0.0038780354916397378,0.0026367831245880033,-0.010906405419113419,0.0,0.0,0.0111111111111111,0.031746031746031744,-0.04166666666666666,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,-0.010906405419113419
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_11.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,11,15,11-15,12,BEIS,1,1,2.0,0.5,2,0.8,0.2,2,0.8,0,1,1,2.0,0.5,0.2,2,0.8,2,0,cleaning_care;durability_protection;material_shell;sustainability,4,0.21052631578947367,0.009927864356970885,0.041666666666666664,0.23367416936262225,1.0,3,0,178,Travelpro > BEIS > INUSA > Delsey > Monos,"[BEIS]
INUSA also gives direct protective-finish language, saying the PC/ABS-engineered material has a micro diamond finish and a water/scratch-resistant finish.","BEIS mentions practical cleaning and stain-related details: care is listed as spot clean, the lining is durable and easy to spot clean, the zipper tape is water resistant, and the feature list includes stain resistance.",1.0,2.0,0.25,3.0,0.6,0.0,4.0,0.21052631578947367,0.009303797297058937,0.0,0.2606326892839732,1.0,2.0,0.2222222222222222,0.2222222222222222,0.25,3.0,0.6,3.0,4.0,0.4,0.6666666666666666,5.0,1.0,baseline_11.txt,11-15,True,0.0,-1.0,0.25,-1.0,0.20000000000000007,0.0,0.0,0.0,0.0006240670599119476,0.041666666666666664,-0.026958519921350954,0.0,-1.0,-0.0222222222222222,-0.0222222222222222,0.25,-1.0,0.20000000000000007,-1.0,-2.0,0.4,0.33333333333333337,-2.0,-1.0,0.0,-1.0,1.0,0.0,-0.026958519921350954
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_11.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,11,15,11-15,13,BEIS,1,2,4.0,0.25,4,0.4,0.2222222222222222,3,0.6,0,1,2,4.0,0.25,0.2222222222222222,3,0.6,3,0,durability_protection;material_shell;sustainability;tradeoff_or_limitation,4,0.21052631578947367,0.03956468634691147,0.11363636363636363,0.28373032163939826,-1.0,0,2,201,Delsey > Delsey > Monos > BEIS > Delsey > BEIS > Travelpro > INUSA > Delsey,"[Monos] [BEIS] [Delsey]
BEIS emphasizes durability rather than sustainability by saying its body is 100% virgin polycarbonate and that virgin materials guarantee higher durability. [BEIS]
Travelpro and INUSA provide durability information, but the provided text does not give concrete sustainability-related claims for either product.","Monos, BEIS, and Delsey mention vegan leather details or trim, which is a concrete responsible-material detail if the shopper cares about animal-free materials, but the provided text does not connect those details to environmental sustainability. BEIS emphasizes durability rather than sustainability by saying its body is 100% virgin polycarbonate and that virgin materials guarantee higher durability.",1.0,2.0,0.3333333333333333,2.0,0.8,0.0,6.0,0.3157894736842105,0.03444126149430255,0.0392156862745098,0.30926183331021245,1.0,1.0,0.1111111111111111,0.25,0.3333333333333333,2.0,0.8,2.0,3.0,0.6,-0.3333333333333333,2.0,4.0,baseline_11.txt,11-15,True,0.0,0.0,-0.08333333333333331,1.0,-0.20000000000000007,0.0,-2.0,-0.10526315789473684,0.005123424852608922,0.07442067736185383,-0.02553151167081419,0.0,1.0,0.1111111111111111,-0.02777777777777779,-0.08333333333333331,1.0,-0.20000000000000007,1.0,1.0,-0.19999999999999996,-0.6666666666666667,-2.0,-2.0,0.0,0.0,-1.0,0.0,-0.02553151167081419
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_11.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,11,15,11-15,14,BEIS,1,2,2.0,0.5,2,0.8,0.2,2,0.8,0,1,1,2.0,0.5,0.2,2,0.8,2,0,electronics_convenience;handle;lock_security;packing_organization;tradeoff_or_limitation;weight;wheels_mobility,7,0.3684210526315789,0.05550131158480662,0.04081632653061224,0.35757358848953563,0.0,1,1,259,Travelpro > BEIS > Delsey > Monos > INUSA > Monos > BEIS > Travelpro > Delsey > INUSA,"[BEIS]
Delsey is also convenient because it includes a USB port, removable pouch, laundry and shoe bags, mesh zippered pockets, compression straps, TSA lock, double-spinner wheels, and soft-grip handles, but the provided text does not mention a dedicated battery pocket or weight indicator. [Monos] [BEIS] [Travelpro] [Delsey] [INUSA]","BEIS is the strongest alternative for non-tech convenience because it includes a side carry handle with a weight limit indicator, a retractable bag attach strap that holds up to 15 lbs, 2-inch expansion, a cushioned trolley handle, TSA locks, multiple pouches for dirty clothes, shoes, undergarments, and damp clothing, plus 360-degree wheels.",1.0,2.0,0.5,2.0,0.8,0.0,4.0,0.21052631578947367,0.037148896444689924,0.05,0.32370170911349944,1.0,2.0,0.2857142857142857,0.2857142857142857,0.5,2.0,0.8,2.0,2.0,0.8,0.3333333333333333,2.0,1.0,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.15789473684210525,0.018352415140116693,-0.009183673469387761,0.033871879376036196,0.0,-1.0,-0.08571428571428569,-0.08571428571428569,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,0.0,0.0,0.0,0.0,0.0,0.033871879376036196
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_11.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,11,15,11-15,15,BEIS,1,2,3.0,0.3333333333333333,3,0.6,0.2,3,0.6,0,1,2,3.0,0.3333333333333333,0.2,3,0.6,3,0,capacity_volume;cleaning_care;dimensions;handle;lock_security;overhead_bin_or_airline_fit;sustainability;tradeoff_or_limitation;warranty_trial_return;weight;wheels_mobility,11,0.5789473684210527,0.05930286873397371,0.0,0.3609833807643386,0.07692307692307693,7,6,277,Travelpro > Delsey > BEIS > INUSA > Monos > Travelpro > Delsey > BEIS > INUSA > Monos,"[BEIS]
INUSA provides helpful basics such as material, finish, wheel, lock, handle, zipper, weight, and dimensions, but shoppers should double-check the true overall height with wheels, capacity, warranty or return coverage, and exact airline compliance because the page says the listed dimensions exclude wheels. [Travelpro] [Delsey] [BEIS] [INUSA] [Monos]","BEIS provides useful specifications and feature detail, including exterior and interior dimensions, materials, care instructions, capacity, weight, expansion, weight indicator, bag strap, pouches, and warranty mention, but shoppers should double-check airline fit and the capacity wording because one part says 49-61 L while another says 49-61LBS. Before purchase, shoppers should double-check the exact airline size and weight limits for their most common airlines, especially for Travelpro when expanded, Delsey because it is the larger Carry-On Plus, BEIS because it expands and does not provide sizer-bin language, INUSA because the listed dimensions exclude wheels, and Monos because the provided text lacks exact measurements.",1.0,2.0,0.5,2.0,0.8,0.0,11.0,0.5789473684210527,0.05858436208484114,0.038461538461538464,0.3999422435370762,1.0,3.0,0.2,0.16666666666666666,0.5,2.0,0.8,2.0,2.0,0.8,0.5,15.0,5.0,baseline_11.txt,11-15,True,0.0,0.0,-0.16666666666666669,1.0,-0.20000000000000007,0.0,0.0,0.0,0.0007185066491325678,-0.038461538461538464,-0.03895886277273758,0.0,-1.0,0.0,0.033333333333333354,-0.16666666666666669,1.0,-0.20000000000000007,1.0,1.0,-0.20000000000000007,-0.4230769230769231,-8.0,1.0,0.0,0.0,-1.0,0.0,-0.03895886277273758
