comparison,mode,source_file_current,source_path,run_type,focal_current_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label_current,question_id,product,cited_current,ref_count_current,first_citation_index,first_citation_score_current,citation_position_proxy_current,citation_position_score_current,citation_share_of_voice_current,recommendation_rank_proxy_current,rank_score_proxy_current,top1_cited_flag_current,brand_mentioned_current,brand_mention_count_current,first_mention_index,first_mention_score_current,mention_share_of_voice_current,mention_position_proxy_current,mention_position_score_current,average_mention_position_proxy_current,top1_mentioned_flag,feature_categories,feature_count_current,feature_coverage_current,tfidf_product_answer_similarity_current,bigram_overlap_product_answer_current,pais_product_answer_influence_score_current,brand_context_sentiment_score_current,brand_context_positive_hits_current,brand_context_negative_hits_current,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences,cited_baseline,ref_count_baseline,first_citation_score_baseline,recommendation_rank_proxy_baseline,rank_score_proxy_baseline,top1_cited_flag_baseline,feature_count_baseline,feature_coverage_baseline,tfidf_product_answer_similarity_baseline,bigram_overlap_product_answer_baseline,pais_product_answer_influence_score_baseline,brand_mentioned_baseline,brand_mention_count_baseline,mention_share_of_voice_baseline,citation_share_of_voice_baseline,first_mention_score_baseline,mention_position_proxy_baseline,mention_position_score_baseline,average_mention_position_proxy_baseline,citation_position_proxy_baseline,citation_position_score_baseline,brand_context_sentiment_score_baseline,brand_context_positive_hits_baseline,brand_context_negative_hits_baseline,source_file_baseline,prompt_set_label_baseline,baseline_match_found,delta_cited,delta_ref_count,delta_first_citation_score,delta_recommendation_rank_proxy,delta_rank_score_proxy,delta_top1_cited_flag,delta_feature_count,delta_feature_coverage,delta_tfidf_product_answer_similarity,delta_bigram_overlap_product_answer,delta_pais_product_answer_influence_score,delta_brand_mentioned,delta_brand_mention_count,delta_mention_share_of_voice,delta_citation_share_of_voice,delta_first_mention_score,delta_mention_position_proxy,delta_mention_position_score,delta_average_mention_position_proxy,delta_citation_position_proxy,delta_citation_position_score,delta_brand_context_sentiment_score,delta_brand_context_positive_hits,delta_brand_context_negative_hits,delta_citation_rate,delta_mean_ref_count,rank_improvement_current_minus_baseline,delta_top1_cited_share,delta_pais
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,1,Away,1,2,1.0,1.0,1,1.0,0.6666666666666666,1,1.0,1,1,1,1.0,1.0,0.5,1,1.0,1,1,capacity_volume;cleaning_care;durability_protection;electronics_convenience;lock_security;overhead_bin_or_airline_fit;packing_organization;tradeoff_or_limitation;trip_length;warranty_trial_return;wheels_mobility,11,0.5789473684210527,0.10403418260375355,0.2564102564102564,0.5417245153331663,0.7777777777777778,8,1,123,Away > Away > July,"[Away] It also adds a compression system, three mesh pockets, one hanging pocket, a TSA-approved combination lock, smooth-gliding wheels, and a water-resistant laundry bag, so it is a practical all-around choice for a short trip. [Away] July is also a strong option if you want a little more stated capacity at 42 L plus an ejectable USB-C battery and lifetime warranty, but its page does not specifically describe a 3-5 day trip fit.","I would recommend Away The Carry-On first for a 3-5 day trip because its page explicitly says it is perfect for 3-5 day trips, packs 5-7 outfits, fits overhead on most major airlines, and has a 41 L capacity.",1.0,2.0,1.0,1.0,1.0,1.0,6.0,0.3157894736842105,0.11753653722698511,0.2753623188405797,0.49463621667499275,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,6.0,1.0,baseline_1.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.26315789473684215,-0.013502354623231558,-0.018952062430323324,0.0470882986581736,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06349206349206349,2.0,0.0,0.0,0.0,0.0,0.0,0.0470882986581736
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,2,Away,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,3,0.6,0,1,1,3.0,0.3333333333333333,0.3333333333333333,3,0.6,3,0,,0,0.0,0.1025739058683091,0.0,0.1705147811736618,1.0,1,0,119,July > BR > Away,[Away],"Away also looks durable because its page says the 100% polycarbonate shell is rigorously tested, and it describes handle, wheel, zipper, and drop testing.",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,1.0,1.0,0.3333333333333333,-3.0,0.6,0.0,0.0,0.0,0.1025739058683091,0.0,0.1705147811736618,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-3.0,0.6,-3.0,-3.0,0.6,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.1705147811736618
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,3,Away,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,122,Rimowa > July > BR,,,1.0,1.0,0.25,3.0,0.6,0.0,0.0,0.0,0.023074255325121296,0.0,0.1379481843983576,1.0,2.0,0.25,0.25,0.2,3.0,0.6,3.0,4.0,0.4,1.0,3.0,0.0,baseline_1.txt,1-5,True,-1.0,-1.0,-0.25,3.0,-0.6,0.0,0.0,0.0,-0.023074255325121296,0.0,-0.1379481843983576,-1.0,-2.0,-0.25,-0.25,-0.2,3.0,-0.6,3.0,2.0,-0.4,-1.0,-3.0,0.0,-1.0,-1.0,-3.0,0.0,-0.1379481843983576
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,4,Away,1,1,2.0,0.5,2,0.8,0.3333333333333333,2,0.8,0,1,1,4.0,0.25,0.2,2,0.8,2,0,durability_protection;material_shell;packing_organization,3,0.15789473684210525,0.03410581376840453,0.03333333333333333,0.2267334434554353,1.0,4,0,140,BR > Away > Century,"[Away] Hartmann is also good for hanging items and neat packing because it includes a removable garment sleeve, a spacious packing compartment, ample zippered pockets, and durable nylon tie-down straps.","Away is a strong runner-up for general organization because it includes a double-buckle compression pad, three mesh pockets, one hanging pocket, and a water-resistant laundry bag.",1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.21052631578947367,0.03847598956148752,0.0,0.3331337944035256,1.0,1.0,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,baseline_1.txt,1-5,True,0.0,0.0,-0.5,1.0,-0.19999999999999996,-1.0,-1.0,-0.05263157894736842,-0.004370175793082985,0.03333333333333333,-0.10640035094809028,0.0,0.0,0.0,0.0,-0.75,1.0,-0.19999999999999996,1.0,1.0,-0.19999999999999996,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-0.10640035094809028
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,5,Away,1,2,1.0,1.0,1,1.0,0.4,1,1.0,1,1,3,1.0,1.0,0.5,1,1.0,1,1,capacity_volume;dimensions;lock_security;overhead_bin_or_airline_fit;tradeoff_or_limitation;warranty_trial_return,6,0.3157894736842105,0.15931468414344652,0.14102564102564102,0.4828413443860442,0.6,8,2,235,Away > Away > July > BR > Century,"[Away] Away is also careful about travel limitations because it says the bag fits overhead on most major airlines while warning that airline compatibility can change and that shoppers should check the operating airline. [Away] July is another confidence-building choice because it lists 42 L capacity, total linear dimensions of 45 inches, approval to fit as carry-on for Australian and international standards, an integrated TSA lock, lifetime warranty on manufacturing faults, and 100-day returns for unpersonalized items.","Away gives the best overall purchase confidence for most shoppers because it combines a clearly stated carry-on size of 21.7 x 14.4 x 9 inches, a TSA-approved combination lock, 100-day free returns and exchanges on unused items, and LifetimeCare coverage that includes repair support for the life of the suitcase and covers functional damage from manufacturing defects or unexpected rough travel. Away is also careful about travel limitations because it says the bag fits overhead on most major airlines while warning that airline compatibility can change and that shoppers should check the operating airline.",1.0,1.0,0.5,2.0,0.8,0.0,7.0,0.3684210526315789,0.06442735229155645,0.07142857142857142,0.28061730003224616,1.0,2.0,0.25,0.2,0.5,2.0,0.8,2.0,2.0,0.8,0.42857142857142855,5.0,2.0,baseline_1.txt,1-5,True,0.0,1.0,0.5,-1.0,0.19999999999999996,1.0,-1.0,-0.05263157894736842,0.09488733185189006,0.0695970695970696,0.20222404435379804,0.0,1.0,0.25,0.2,0.5,-1.0,0.19999999999999996,-1.0,-1.0,0.19999999999999996,0.17142857142857143,3.0,0.0,0.0,1.0,1.0,1.0,0.20222404435379804
01_2023_2024_original_vs_2026_current,one_product_current,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_11.txt,one_product_current,Away,current_2026,11,15,11-15,11,Away,1,1,1.0,1.0,1,1.0,0.16666666666666666,1,1.0,1,1,2,1.0,1.0,0.16666666666666666,1,1.0,1,1,dimensions;overhead_bin_or_airline_fit;wheels_mobility,3,0.15789473684210525,0.0819649000895054,0.125,0.3500552607196554,1.0,3,0,268,Away > July > BR > Century > July > Rimowa,"[Away] July gives exterior dimensions including wheels of 21.5"" H x 15"" W x 8.5"" D, says its total linear dimension is 45"", and states it is approved to fit as carry-on for all Australian and International standards.","The safest options for stricter carry-on rules appear to be Away and July, because they give the strongest airline-fit language and full exterior measurements. Away is the smaller “standard international-compliant” size, gives exterior measurements including wheels of 21.7"" x 14.4"" x 9"", and says it is designed to fit overhead bins on most major airlines, including international carriers.",1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.15789473684210525,0.05122057866066147,0.043478260869565216,0.33167813556432146,1.0,2.0,0.2857142857142857,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030744321428843924,0.08152173913043478,0.018377125155333962,0.0,0.0,-0.11904761904761904,-0.033333333333333354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.018377125155333962
01_2023_2024_original_vs_2026_current,one_product_current,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_11.txt,one_product_current,Away,current_2026,11,15,11-15,12,Away,1,1,4.0,0.25,4,0.4,0.16666666666666666,3,0.6,0,1,1,4.0,0.25,0.16666666666666666,3,0.6,3,0,cleaning_care;dimensions;durability_protection;material_shell;tradeoff_or_limitation,5,0.2631578947368421,0.03699028013460535,0.0967741935483871,0.20787909733988089,0.2,3,2,212,July > July > BR > Away > Century > Rimowa,"[Away] Hartmann says the exterior is durable 100% polycarbonate with metallic film, but the supplied text does not say it is stain-resistant, scuff-resistant, scratch-resistant, water-resistant, or wipe-clean.","Away mentions a durable lightweight 100% polycarbonate shell and a water-resistant polyester laundry bag, but the supplied text does not claim that the shell is stain-resistant, scuff-resistant, scratch-resistant, or wipe-clean.",1.0,1.0,0.25,3.0,0.6,0.0,6.0,0.3157894736842105,0.028899999813875834,0.02564102564102564,0.20611738187910444,1.0,1.0,0.16666666666666666,0.16666666666666666,0.25,3.0,0.6,3.0,4.0,0.4,0.3333333333333333,4.0,2.0,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.05263157894736842,0.008090280320729514,0.07113316790736146,0.0017617154607764418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1333333333333333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0017617154607764418
01_2023_2024_original_vs_2026_current,one_product_current,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_11.txt,one_product_current,Away,current_2026,11,15,11-15,13,Away,1,2,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,1,1,4,1.0,1.0,0.5,1,1.0,1,1,durability_protection;sustainability;tradeoff_or_limitation;warranty_trial_return;wheels_mobility,5,0.2631578947368421,0.07816636941257997,0.18604651162790697,0.46283849624073714,-0.3333333333333333,1,2,229,Away > Away > BR > July > Rimowa > Century,"[Away] Away also supports durability through repair coverage, testing claims for handles, wheels, zippers, and drops, and LifetimeCare repair support for functional damage from defects or unexpected rough travel. [Away]

Briggs & Riley gives strong durability and longevity evidence but not concrete sustainable-material evidence.","Away provides the most concrete sustainability-related information, but the evidence is limited to smaller components and packaging rather than the main suitcase shell. Away says the included black luggage tag is crafted from 50% recycled leather and that its Classic suitcases ship in exterior packaging that is 100% recyclable. Away also supports durability through repair coverage, testing claims for handles, wheels, zippers, and drops, and LifetimeCare repair support for functional damage from defects or unexpected rough travel.",1.0,3.0,1.0,1.0,1.0,1.0,7.0,0.3684210526315789,0.1152575678316142,0.2236842105263158,0.580288355671586,1.0,3.0,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,0.5,9.0,3.0,baseline_11.txt,11-15,True,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-0.10526315789473684,-0.03709119841903423,-0.03763769889840882,-0.11744985943084885,0.0,1.0,0.07142857142857145,-0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333333,-8.0,-1.0,0.0,-1.0,0.0,0.0,-0.11744985943084885
01_2023_2024_original_vs_2026_current,one_product_current,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_11.txt,one_product_current,Away,current_2026,11,15,11-15,14,Away,1,2,5.0,0.2,5,0.2,0.18181818181818182,4,0.4,0,1,2,3.0,0.3333333333333333,0.15384615384615385,2,0.8,2,0,dimensions;handle;lock_security;overhead_bin_or_airline_fit;packing_organization;tradeoff_or_limitation;wheels_mobility,7,0.3684210526315789,0.04663373505160938,0.05405405405405406,0.2977857323114125,1.0,3,0,287,BR > July > July > Century > Away > Rimowa > Away > BR > Century > July > Rimowa,"[Away] RIMOWA offers TSA-approved locks, a mesh divider, Multiwheel system, T-Bar telescopic handle, and an interior zipped pocket, but fewer travel-day extras are described than on Briggs & Riley or July. [Away] [Briggs & Riley] [Hartmann] [July] [RIMOWA]","It has CX expansion and compression, a built-in garment folder, cinch-down garment panels, mesh-lid zip pockets, a SmartLink strap to secure another bag, a hide-away ID tag, a convenient exterior security-checkpoint pocket with orange lining, a PowerPocket for a battery pack and cell phone, a large front pocket, multiple grab handles, spinner wheels, and a TSA-approved cable lock. Away offers a TSA lock, double-buckle compression pad, interior mesh and hanging pockets, an underside grab handle, a water-resistant laundry bag, smooth-gliding wheels, and a luggage tag.",1.0,1.0,0.25,4.0,0.4,0.0,6.0,0.3157894736842105,0.04885941315116838,0.07894736842105263,0.21810521596356702,1.0,2.0,0.18181818181818182,0.14285714285714285,0.5,2.0,0.8,2.0,4.0,0.4,0.5,3.0,1.0,baseline_11.txt,11-15,True,0.0,1.0,-0.04999999999999999,0.0,0.0,0.0,1.0,0.05263157894736842,-0.0022256780995590017,-0.02489331436699857,0.07968051634784545,0.0,0.0,-0.02797202797202797,0.038961038961038974,-0.16666666666666669,0.0,0.0,0.0,1.0,-0.2,0.5,0.0,-1.0,0.0,1.0,0.0,0.0,0.07968051634784545
01_2023_2024_original_vs_2026_current,one_product_current,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_11.txt,one_product_current,Away,current_2026,11,15,11-15,15,Away,1,1,1.0,1.0,1,1.0,0.08333333333333333,1,1.0,1,1,3,1.0,1.0,0.2,1,1.0,1,1,capacity_volume;cleaning_care;comparison_ready_evidence;dimensions;electronics_convenience;sustainability;warranty_trial_return;weight,8,0.42105263157894735,0.02456489068443366,0.0,0.3724568377860095,1.0,10,0,327,Away > July > BR > Century > Rimowa > BR > Century > July > Rimowa > BR > Century > July,"[Away] July is also very clear because it gives external and internal dimensions, total linear dimensions, capacity, weight, battery details, materials, cleaning-related lining claims, protective bumpers, and lifetime warranty terms for manufacturing faults.","Away and July have the strongest information quality for a shopper comparing carry-ons because they give dimensions, weight, capacity, airline-fit language, materials, convenience features, and warranty or repair information. Away is especially clear because it states exterior and interior measurements, says measurements include wheels, lists weight and capacity, explains airline-fit language, gives durability testing details, and describes LifetimeCare repair support.",1.0,3.0,1.0,1.0,1.0,1.0,10.0,0.5263157894736842,0.05208093408894676,0.08955223880597014,0.5791121805334217,1.0,3.0,0.2727272727272727,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,10.0,2.0,baseline_11.txt,11-15,True,0.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-0.10526315789473684,-0.0275160434045131,-0.08955223880597014,-0.2066553427474122,0.0,0.0,-0.0727272727272727,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,-2.0,0.0,-2.0,0.0,0.0,-0.2066553427474122
