run_type,source_file,focal_current_product,question_ids,n_questions,prompt_set_label
baseline_all_original,baseline_1.txt,,"1,2,3,4,5",5,1-5
baseline_all_original,baseline_11.txt,,"11,12,13,14,15",5,11-15
baseline_all_original,baseline_16.txt,,"16,17,18,19,20",5,16-20
baseline_all_original,baseline_6.txt,,"6,7,8,9,10",5,6-10
one_product_current,away_1.txt,Away,"1,2,3,4,5",5,1-5
one_product_current,away_11.txt,Away,"11,12,13,14,15",5,11-15
one_product_current,away_16.txt,Away,"16,17,18,19,20",5,16-20
one_product_current,away_6.txt,Away,"6,7,8,9,10",5,6-10
one_product_current,br_1.txt,BR,"1,2,3,4,5",5,1-5
one_product_current,br_11.txt,BR,"11,12,13,14,15",5,11-15
one_product_current,br_16.txt,BR,"16,17,18,19,20",5,16-20
one_product_current,br_6.txt,BR,"6,7,8,9,10",5,6-10
one_product_current,century_1.txt,Century,"1,2,3,4,5",5,1-5
one_product_current,century_11.txt,Century,"11,12,13,14,15",5,11-15
one_product_current,century_16.txt,Century,"16,17,18,19,20",5,16-20
one_product_current,century_6.txt,Century,"6,7,8,9,10",5,6-10
one_product_current,july_1.txt,July,"1,2,3,4,5",5,1-5
one_product_current,july_11.txt,July,"11,12,13,14,15",5,11-15
one_product_current,july_16.txt,July,"16,17,18,19,20",5,16-20
one_product_current,july_6.txt,July,"6,7,8,9,10",5,6-10
one_product_current,rimowa_1.txt,Rimowa,"1,2,3,4,5",5,1-5
one_product_current,rimowa_11.txt,Rimowa,"11,12,13,14,15",5,11-15
one_product_current,rimowa_16.txt,Rimowa,"16,17,18,19,20",5,16-20
one_product_current,rimowa_6.txt,Rimowa,"6,7,8,9,10",5,6-10
