comparison,mode,source_file,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label,question_id,product,cited,ref_count,first_citation_index,first_citation_score,citation_position_proxy,citation_position_score,citation_share_of_voice,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,brand_mentioned,brand_mention_count,first_mention_index,first_mention_score,mention_share_of_voice,mention_position_proxy,mention_position_score,average_mention_position_proxy,top1_mentioned_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,brand_context_sentiment_score,brand_context_positive_hits,brand_context_negative_hits,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,1,Away,1,2,1.0,1.0,1,1.0,0.6666666666666666,1,1.0,1,1,2,1.0,1.0,0.3333333333333333,1,1.0,1,1,capacity_volume;dimensions;electronics_convenience;lock_security;packing_organization;weight,6,0.3157894736842105,0.09404021354491475,0.1095890410958904,0.4650709602768753,0.7777777777777778,8,1,154,Away > Away > July,"[Away] It also gives a practical mix of a 39.8 L capacity, 7.5 lb weight, interior compression, mesh pockets, a hanging pocket, and a laundry bag, so it is well matched to a short trip without feeling overbuilt. [Away] July is a strong alternative if you want slightly more stated capacity and built-in charging, since it offers 42 L of volume, an ejectable battery, a TSA lock, compression, and a hidden laundry bag.","I would recommend Away as the best default choice for a 3-5 day trip because its page specifically says The Carry-On is made for quick trips of 3-5 days, fits 5-7 outfits, and is sized to fit in the overhead bin of almost any flight. The provided pages do not directly state that Briggs & Riley, Hartmann, or RIMOWA are designed for 3-5 day trips, so Away gives the clearest trip-length confidence."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,1,BR,0,0,,0.0,6,0.0,0.0,6,0.0,0,1,1,3.0,0.3333333333333333,0.16666666666666666,3,0.6,3,0,,0,0.0,0.0,0.0,0.0,0.0,1,1,154,Away > Away > July,,"The provided pages do not directly state that Briggs & Riley, Hartmann, or RIMOWA are designed for 3-5 day trips, so Away gives the clearest trip-length confidence."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,1,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,1,1,4.0,0.25,0.16666666666666666,4,0.4,4,0,,0,0.0,0.0,0.0,0.0,0.0,1,1,154,Away > Away > July,,"The provided pages do not directly state that Briggs & Riley, Hartmann, or RIMOWA are designed for 3-5 day trips, so Away gives the clearest trip-length confidence."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,1,July,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,2,0.8,0,1,1,2.0,0.5,0.16666666666666666,2,0.8,2,0,trip_length,1,0.05263157894736842,0.03542015519950912,0.0,0.1676103468293755,0.5,3,1,154,Away > Away > July,"[July] The provided pages do not directly state that Briggs & Riley, Hartmann, or RIMOWA are designed for 3-5 day trips, so Away gives the clearest trip-length confidence.","July is a strong alternative if you want slightly more stated capacity and built-in charging, since it offers 42 L of volume, an ejectable battery, a TSA lock, compression, and a hidden laundry bag."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,1,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,1,1,5.0,0.2,0.16666666666666666,5,0.2,5,0,,0,0.0,0.0,0.0,0.0,0.0,1,1,154,Away > Away > July,,"The provided pages do not directly state that Briggs & Riley, Hartmann, or RIMOWA are designed for 3-5 day trips, so Away gives the clearest trip-length confidence."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,2,Away,1,1,4.0,0.25,4,0.4,0.25,3,0.6,0,1,1,4.0,0.25,0.16666666666666666,3,0.6,3,0,,0,0.0,0.06928983428940137,0.0,0.1471913001912136,1.0,2,0,188,BR > BR > July > Away,[Away],"Away also uses a rigorously tested 100% polycarbonate hard shell and has a TSA-approved lock and secure zippers, but Briggs & Riley and July provide the strongest durability/protection claims in the supplied pages."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,2,BR,1,2,1.0,1.0,1,1.0,0.5,1,1.0,1,1,3,1.0,1.0,0.5,1,1.0,1,1,dimensions;durability_protection;handle;material_shell;packing_organization,5,0.2631578947368421,0.11058632516492424,0.16470588235294117,0.46612139299996114,1.0,10,0,188,BR > BR > July > Away,"[Briggs & Riley] It also protects packed clothing with an exterior Outsider handle that creates a flat packing surface, a crease-reducing garment folder, and cinch-down garment panels meant to keep clothes pristine in transit. [Briggs & Riley] If you specifically want a hard-shell option for impact protection, July looks especially strong because it uses an aerospace-grade German polycarbonate shell, reinforced outer metal bumpers, YKK Japanese zippers, and a curved eggshell design described as minimizing damage, with aluminum bumpers added for extra protection on hard drops.","For durability and protection, I would recommend Briggs & Riley first if you are comfortable with a softside carry-on because its page emphasizes strong ballistic nylon that resists wear, impact-resistant corner guards, self-repairing YKK zippers, shock-absorbing spinner wheels, and a true lifetime guarantee that repairs a broken or damaged bag free of charge with no proof of purchase and no questions asked. It also protects packed clothing with an exterior Outsider handle that creates a flat packing surface, a crease-reducing garment folder, and cinch-down garment panels meant to keep clothes pristine in transit. Away also uses a rigorously tested 100% polycarbonate hard shell and has a TSA-approved lock and secure zippers, but Briggs & Riley and July provide the strongest durability/protection claims in the supplied pages."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,2,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,188,BR > BR > July > Away,,
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,2,July,1,1,3.0,0.3333333333333333,3,0.6,0.25,2,0.8,0,1,2,3.0,0.3333333333333333,0.3333333333333333,2,0.8,2,0,durability_protection;lock_security;material_shell;overhead_bin_or_airline_fit;tradeoff_or_limitation,5,0.2631578947368421,0.06725515583592499,0.058823529411764705,0.2249061395263181,1.0,7,0,188,BR > BR > July > Away,"[July] Away also uses a rigorously tested 100% polycarbonate hard shell and has a TSA-approved lock and secure zippers, but Briggs & Riley and July provide the strongest durability/protection claims in the supplied pages.","If you specifically want a hard-shell option for impact protection, July looks especially strong because it uses an aerospace-grade German polycarbonate shell, reinforced outer metal bumpers, YKK Japanese zippers, and a curved eggshell design described as minimizing damage, with aluminum bumpers added for extra protection on hard drops. Away also uses a rigorously tested 100% polycarbonate hard shell and has a TSA-approved lock and secure zippers, but Briggs & Riley and July provide the strongest durability/protection claims in the supplied pages."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,2,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,188,BR > BR > July > Away,,
