run_type,source_file,focal_geo_product,question_ids,n_questions,prompt_set_label,shifted_any
baseline_all_current_2026,baseline_curr/baseline_1.txt,,"1,2,3,4,5",5,1-5,False
baseline_all_current_2026,baseline_curr/baseline_11.txt,,"11,12,13,14,15",5,11-15,False
baseline_all_current_2026,baseline_curr/baseline_16.txt,,"16,17,18,19,20",5,16-20,False
baseline_all_current_2026,baseline_curr/baseline_6.txt,,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,Away,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_11.txt,Away,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_16.txt,Away,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_6.txt,Away,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/br_1.txt,BR,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/br_11.txt,BR,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/br_16.txt,BR,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/br_6.txt,BR,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/century_1.txt,Century,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/century_11.txt,Century,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/century_16.txt,Century,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/century_6.txt,Century,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/july_1.txt,July,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/july_11.txt,July,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/july_16.txt,July,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/july_6.txt,July,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/rimowa_11.txt,Rimowa,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/rimowa_16.txt,Rimowa,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/rimowa_6.txt,Rimowa,"6,7,8,9,10",5,6-10,False
