comparison,product,version_status_for_product,n_question_contexts,n_source_files,citation_rate,mean_ref_count,total_ref_count,mean_first_citation_score,mean_recommendation_rank_proxy,mean_rank_score_proxy,top1_cited_share,mean_feature_count,mean_feature_coverage,mean_tfidf_product_answer_similarity,mean_bigram_overlap_product_answer,mean_pais_product_answer_influence_score
01_2023_2024_original_vs_2026_current,BEIS,current_2026,5,1,0.8,1.0,5,0.33333333333333337,3.6,0.48,0.2,0.8,0.05333333333333333,0.024580601632314604,0.05242165242165242,0.17344603485637747
01_2023_2024_original_vs_2026_current,BEIS,original_2023_2024,20,4,0.55,0.6,12,0.33083333333333337,3.75,0.45,0.2,0.8,0.05333333333333333,0.010231036582720213,0.007410894893363338,0.12999117488388187
01_2023_2024_original_vs_2026_current,Delsey,current_2026,5,1,0.8,0.8,4,0.25,3.2,0.5599999999999999,0.0,2.8,0.18666666666666668,0.03186946520203234,0.010533515731874145,0.16195392040018758
01_2023_2024_original_vs_2026_current,Delsey,original_2023_2024,20,4,0.9,1.2,24,0.45583333333333337,2.45,0.71,0.2,3.05,0.2033333333333333,0.0668227100850415,0.0706611624862811,0.2557970497232838
01_2023_2024_original_vs_2026_current,INUSA,current_2026,5,1,0.2,0.2,1,0.05,5.6,0.08,0.0,0.0,0.0,0.002007465699833121,0.0,0.02706815980663329
01_2023_2024_original_vs_2026_current,INUSA,original_2023_2024,20,4,0.35,0.35,7,0.07714285714285714,5.35,0.13,0.0,0.2,0.013333333333333332,0.01589141635854856,0.0,0.050440188033614476
01_2023_2024_original_vs_2026_current,Monos,current_2026,5,1,0.8,0.8,4,0.36666666666666664,3.0,0.6,0.2,0.8,0.05333333333333333,0.03758706844318617,0.027368421052631577,0.16228934351319863
01_2023_2024_original_vs_2026_current,Monos,original_2023_2024,20,4,0.55,0.6,12,0.195,4.2,0.36,0.05,1.0,0.06666666666666667,0.027299471034927664,0.017815282617111884,0.11046551993288564
01_2023_2024_original_vs_2026_current,Travelpro,current_2026,5,1,0.8,1.2,6,0.6666666666666666,2.4,0.72,0.6,2.0,0.13333333333333336,0.06294981735152257,0.12123633305298571,0.2907754134282524
01_2023_2024_original_vs_2026_current,Travelpro,original_2023_2024,20,4,0.85,1.35,27,0.6683333333333333,2.15,0.77,0.55,2.4,0.16,0.05870607473929099,0.12390991824035447,0.30849436935057806
