run_type,source_file,focal_current_product,question_ids,n_questions,prompt_set_label
baseline_all_original,baseline_1.txt,,"1,2,3,4,5",5,1-5
baseline_all_original,baseline_11.txt,,"11,12,13,14,15",5,11-15
baseline_all_original,baseline_16.txt,,"16,17,18,19,20",5,16-20
baseline_all_original,baseline_6.txt,,"6,7,8,9,10",5,6-10
one_product_current,beis_2023vs2026_1.txt,BEIS,"1,2,3,4,5",5,1-5
one_product_current,beis_2023vs2026_11.txt,BEIS,"11,12,13,14,15",5,11-15
one_product_current,beis_2023vs2026_16.txt,BEIS,"16,17,18,19,20",5,16-20
one_product_current,beis_2023vs2026_6.txt,BEIS,"6,7,8,9,10",5,6-10
one_product_current,delsey_2023vs2026_1.txt,Delsey,"1,2,3,4,5",5,1-5
one_product_current,delsey_2023vs2026_11.txt,Delsey,"11,12,13,14,15",5,11-15
one_product_current,delsey_2023vs2026_6.txt,Delsey,"6,7,8,9,10",5,6-10
one_product_current,desley_2023vs2026_16.txt,Delsey,"16,17,18,19,20",5,16-20
one_product_current,inusa_2023vs2026_1.txt,INUSA,"1,2,3,4,5",5,1-5
one_product_current,inusa_2023vs2026_11.txt,INUSA,"11,12,13,14,15",5,11-15
one_product_current,inusa_2023vs2026_16.txt,INUSA,"16,17,18,19,20",5,16-20
one_product_current,inusea_2023vs2026_6.txt,INUSA,"6,7,8,9,10",5,6-10
one_product_current,monos_2023vs2026_1.txt,Monos,"1,2,3,4,5",5,1-5
one_product_current,monos_2023vs2026_11.txt,Monos,"11,12,13,14,15",5,11-15
one_product_current,monos_2023vs2026_16.txt,Monos,"16,17,18,19,20",5,16-20
one_product_current,monos_2023vs2026_6.txt,Monos,"6,7,8,9,10",5,6-10
one_product_current,travel_2023vs2026_1.txt,Travelpro,"1,2,3,4,5",5,1-5
one_product_current,travel_2023vs2026_11.txt.txt,Travelpro,"11,12,13,14,15",5,11-15
one_product_current,travel_2023vs2026_16.txt,Travelpro,"16,17,18,19,20",5,16-20
one_product_current,travel_2023vs2026_6.txt,Travelpro,"6,7,8,9,10",5,6-10
