run_type,source_file,focal_geo_product,question_ids,n_questions,prompt_set_label,shifted_any
baseline_all_original,baseline_1.txt,,"1,2,3,4,5",5,1-5,False
baseline_all_original,baseline_11.txt,,"11,12,13,14,15",5,11-15,False
baseline_all_original,baseline_16.txt,,"16,17,18,19,20",5,16-20,False
baseline_all_original,baseline_6.txt,,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite,beis_2023_2024vsGEO_1.txt,BEIS,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite,beis_2023_2024vsGEO_11.txt,BEIS,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite,beis_2023_2024vsGEO_16.txt,BEIS,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite,beis_2023_2024vsGEO_6.txt,BEIS,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite,delsey_2023_2024vsGEO_1.txt,Delsey,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite,delsey_2023_2024vsGEO_11.txt,Delsey,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite,delsey_2023_2024vsGEO_16.txt,Delsey,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite,delsey_2023_2024vsGEO_6.txt,Delsey,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite,inusa_2023_2024vsGEO_1.txt,INUSA,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite,inusa_2023_2024vsGEO_11.txt,INUSA,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite,inusa_2023_2024vsGEO_16.txt,INUSA,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite,inusa_2023_2024vsGEO_6.txt,INUSA,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite,monos_2023_2024vsGEO_1.txt,Monos,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite,monos_2023_2024vsGEO_11.txt,Monos,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite,monos_2023_2024vsGEO_16.txt,Monos,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite,monos_2023_2024vsGEO_6.txt,Monos,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite,travel_2023_2024vsGEO_1.txt,Travelpro,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite,travel_2023_2024vsGEO_11.txt,Travelpro,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite,travel_2023_2024vsGEO_16.txt,Travelpro,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite,travel_2023_2024vsGEO_6.txt,Travelpro,"6,7,8,9,10",5,6-10,False
